email,password,phone,ref_email
a@test.com,password,2020202020,
b@test.com,password,3030303030,
c@test.com,password,1010101010,
d@test.com,password,4040404040,
e@test.com,password,5050505050,
f@test.com,password,6060606060,
g@test.com,password,7070707070,
h@test.com,password,8080808080,
i@test.com,password,9090909090,
j@test.com,password,1111111111,
k@test.com,password,2222222222,
l@test.com,password,3333333333,
m@test.com,password,4444444444,
n@test.com,password,5555555555,
o@test.com,password,6666666666,
p@test.com,password,7777777777,
q@test.com,password,8888888888,
r@test.com,password,9999999999,
s@test.com,password,1111111110,
t@test.com,password,2222222221,
u@test.com,password,3333333332,
v@test.com,password,4444444443,
w@test.com,password,5555555554,
x@test.com,password,6666666665,
y@test.com,password,7777777776,
z@test.com,password,8888888887,
1@test.com,password,9999999998,
2@test.com,password,1111111109,
3@test.com,password,2222222220,
4@test.om,password,3333333331,
5@test.com,password,4444444442,
6@test.com,password,5555555553,
7@test.com,password,6666666664,
8@test.com,password,7777777775,
9@test.com,password,8888888886,
10@test.com,password,9999999997,
11@test.com,password,909090909,
12@test.com,password,1000000001,
13@test.com,password,1000000002,
14@test.com,password,1000000003,
15@test.com,password,1000000004,
16@test.com,password,1000000005,
17@test.com,password,1000000006,
18@test.com,password,1000000007,
19@test.com,password,1000000008,
20@test.com,password,1000000009,
abc@test.com,password,1000000010,
nikhil@test.com,password,1000000011,
cirag@test.com,password,1000000012,
akhil@test.com,password,1000000013,
charan@test.com,password,1000000014,
